date,node,country,transport,version,frac,low,high
2019-02-05,bridge,om,<OR>,,79,1,10
2019-02-05,bridge,om,meek,,79,8,15
2019-02-05,bridge,om,obfs4,,79,55,57
2019-02-05,bridge,pa,<OR>,,79,2,7
2019-02-05,bridge,pa,meek,,79,0,3
2019-02-05,bridge,pa,obfs3,,79,0,0
2019-02-05,bridge,pa,obfs4,,79,1,4
2019-02-05,bridge,pe,<OR>,,79,1,11
2019-02-05,bridge,pe,meek,,79,0,5
2019-02-05,bridge,pe,obfs3,,79,0,1
2019-02-05,bridge,pe,obfs4,,79,34,38
2019-02-05,bridge,pf,<OR>,,79,0,5
2019-02-05,bridge,pf,meek,,79,0,1
2019-02-05,bridge,pf,obfs3,,79,0,1
2019-02-05,bridge,pf,obfs4,,79,0,3
2019-02-05,bridge,pg,<OR>,,79,1,4
2019-02-05,bridge,pg,meek,,79,0,1
2019-02-05,bridge,pg,obfs4,,79,0,3
2019-02-05,bridge,ph,<OR>,,79,3,17
2019-02-05,bridge,ph,meek,,79,8,16
2019-02-05,bridge,ph,obfs3,,79,3,6
2019-02-05,bridge,ph,obfs4,,79,227,232
2019-02-05,bridge,pk,<OR>,,79,1,12
